"id";"categoria";"titulo";"subtitulo";"conteudo";"data";"img";"user";"status"
1;1;Batizado e troca de cordas 2019 - Graduado Xexéu;Batizado e troca de cordas 2019 - Graduado Xexéu;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191016142025.jpg"" style=""width: 679px; height: 960px;"" /></p>
";"2019-10-10 13:20:43";"";1;Publicado
2;1;Batizado e troca de cordas 2019 - Instrutor Espeto;Batizado e troca de cordas 2019 - Instrutor Espeto;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191016142332.jpg"" style=""width: 679px; height: 960px;"" /></p>
";"2019-10-16 14:22:08";"";1;Publicado
3;1;Batizado e troca de cordas 2019 - Instrutor Pardal;Batizado e troca de cordas 2019 - Instrutor Pardal;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191016142408.jpg"" style=""width: 679px; height: 960px;"" /></p>
";"2019-10-16 14:23:41";"";1;Publicado
4;1;Batizado e troca de cordas 2019 - Instrutor Fumaça;Batizado e troca de cordas 2019 - Instrutor Fumaça;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191016142513.jpg"" style=""width: 679px; height: 960px;"" /></p>

<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191016142530.jpg"" style=""width: 679px; height: 543px;"" /></p>
";"2019-10-16 14:24:15";"";1;Publicado
5;1;Batizado e troca de cordas 2019 - Instrutor Nenê / Instrutor Japão / Instrutor Cafú;Batizado e troca de cordas 2019 - Instrutor Nenê / Instrutor Japão / Instrutor Cafú;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191016142850.jpg"" style=""width: 679px; height: 960px;"" /></p>
";"2019-10-16 14:27:48";"";1;Publicado
6;1;Campanha de prevenção e diagnóstico precoce;Campanha de prevenção e diagnóstico precoce;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191022181456.jpg"" style=""width: 679px; height: 960px;"" /></p>
";"2019-10-22 18:13:22";"";1;Publicado
7;1;Batizado e troca de cordas 2019 - Instrutor Japão;Batizado e troca de cordas 2019 - Instrutor Japão;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191024122331.jpg"" style=""width: 679px; height: 960px;"" /></p>
";"2019-10-24 12:22:14";"";1;Publicado
8;1;Batizado e troca de cordas 2019 - Instrutor Pirata / Instrutora Mulata;Batizado e troca de cordas 2019 - Instrutor Pirata / Instrutora Mulata;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191105094334.peg"" style=""width: 679px; height: 961px;"" /></p>
";"2019-11-05 09:42:22";"";1;Publicado
9;1;Batizado e troca de cordas 2019 - Instrutor Minduim;Batizado e troca de cordas 2019 - Instrutor Minduim;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191119210211.jpg"" style=""width: 679px; height: 961px;"" /></p>
";"2019-11-19 21:01:18";"";1;Publicado
10;1;Batizado e troca de cordas 2019 - Professor Pantera, Professor Lampanche e Instrutor Energia;Batizado e troca de cordas 2019 - Professor Pantera, Professor Lampanche e Instrutor Energia;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20191206090604.peg"" style=""width: 679px; height: 961px;"" /></p>
";"2019-12-06 09:05:18";"";1;Publicado
11;1;"2º Jogos da Capital";"2º Jogos da Capital";"<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""400"" src=""https://www.youtube.com/embed/OlvPUGbdCIo"" width=""679""></iframe></p>

<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20200115105459.jpg"" style=""width: 679px; height: 961px;"" /></p>
";"2020-01-15 10:45:34";"";1;Publicado
12;1;Aulão da Solidariedade;Aulão da Solidariedade;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20210113225532.peg"" style=""width: 679px; height: 961px;"" /></p>
";"2021-01-13 22:54:15";"";1;Publicado
13;1;Capital em festa;Capital em festa;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20210806005153.jpg"" style=""width: 679px; height: 480px;"" /></p>
";"2021-08-06 00:50:23";"";1;Publicado
14;1;Bate Papo com os mestrandos Barriga, Cafuso, Davisão e Papagaio;Bate Papo com os mestrandos Barriga, Cafuso, Davisão e Papagaio;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20210808211759.peg"" style=""width: 679px; height: 1019px;"" /></p>
";"2021-08-08 21:17:46";"";1;Publicado
15;1;Jogos da Capital SP 2022 ;Jogos da Capital SP 2022 ;"<p><img alt="""" src=""http://abadacapoeirasp.com.br/assets/uploads/20220410220929.jpg"" style=""width: 679px; height: 961px;"" /></p>
";"2022-04-10 22:08:36";"";1;Publicado

